Title,Link,Address,Phone,Category,Latitude,Longitude
63뷔페 파빌리온 용산,https://redtable.global/ko/food/1634910,"서울 용산구 한강대로23길 55 아이파크몰, 리빙파크 8층",02-2012-2851,양식,37.52958048327970,126.96402613247900
853,https://redtable.global/ko/food/10034,서울특별시 종로구 인사동12길 16,02-733-0853,한식,37.57473512090050,126.98510514921500
감자꽃피는감자탕 (자은점),https://redtable.global/ko/food/543736,경상남도 창원시 진해구 냉천로 160 3층,055-545-8800,한식,35.15566300846970,128.71386794141400
경성설렁탕,https://redtable.global/ko/food/446013,경상남도 창원시 마산회원구 3.15대로 629,055-252-2331,한식,35.22981710000000,128.57550870000000
고기애파무쳐,https://redtable.global/ko/food/1132417,울산광역시 울주군 삼남읍 도호길 31 금아드림스퀘어 207호,01053287087,한식,35.54860578767380,129.13918358211100
곰국시집 (명동점),https://redtable.global/ko/food/10026,서울특별시 중구 명동10길 19-3,02-756-3449,한식,37.56306981365170,126.98561080516000
곱 (강남점),https://redtable.global/ko/food/90435,"서울특별시 강남구 역삼로3길 12 1, 2층",0507-1343-7592,한식,37.49438347043410,127.03157090026100
곱 (마포점),https://redtable.global/ko/food/116107,서울특별시 마포구 도화길 31-1 1층,0507-1324-5201,한식,37.54103240568670,126.94935098410200
곱창왕김형제 (양재역본점),https://redtable.global/ko/food/125002,서울특별시 강남구 강남대로 240 곱창왕김형제 양재역점,0507-1307-2396,한식,37.48528480000000,127.03461970000000
광화문특고기 (명동점),https://redtable.global/ko/food/948524,서울특별시 중구 명동길 55 태흥빌딩  3층,02-318-9221,한식,37.56414170249910,126.98539452595100
그리에 청담(GRee E),https://redtable.global/ko/food/1008493,서울특별시 강남구 도산대로59길 13,025188177,한식,37.52466200000000,127.04192500000000
금성,https://redtable.global/ko/food/21882,부산광역시 금정구 산성로 443,051-517-4848,한식,35.25131990000000,129.05556790000000
금성관나주곰탕,https://redtable.global/ko/food/10076,서울특별시 중구 남대문로 29,02-753-7898,한식,37.56142537721410,126.97884383258000
금성관나주곰탕 (구로디지털점),https://redtable.global/ko/food/778086,서울특별시 구로구 디지털로32길 92 1층,02-838-7898,한식,37.48268408348520,126.89990250675400
남산와이너리,https://redtable.global/ko/food/123400,서울특별시 용산구 회나무로10길 5,02-792-5849,양식,37.53896770000000,126.98912880000000
논현삼계탕 본점,https://redtable.global/ko/food/1634775,서울 강남구 신사동 563-16,021522-8133,한식,37.51955188214180,127.02679972982100
눈의꽃[진해점],https://redtable.global/ko/food/521318,경상남도 창원시 진해구 충장로130번길 17,055-551-1405,한식,35.15044753415470,128.66606549379400
능이백숙명가,https://redtable.global/ko/food/147089,울산광역시 북구 명촌18길 6-7 1층,0507-1335-6458,한식,35.57859147496940,129.32409299180300
다복양곱창,https://redtable.global/ko/food/25419,부산광역시 중구 자갈치로59번길 5-7,010-5310-3946,기타,35.09777804602160,129.03051673524800
단군신화,https://redtable.global/ko/food/1024222,전라남도 여수시 소호6길 7-5 2층,061-922-7222,한식,34.74025390222910,127.64967679049600
