Title,Address,Phone,Category,Link
63뷔페 파빌리온 용산,"서울 용산구 한강대로23길 55 아이파크몰, 리빙파크 8층",02-2012-2851,양식,https://benepia.redtable.global/store/1634910
853,서울특별시 종로구 인사동12길 16,02-733-0853,한식,https://benepia.redtable.global/store/10034
감자꽃피는감자탕(자은점),경상남도 창원시 진해구 냉천로 160,055-545-8800,한식,https://benepia.redtable.global/store/543736
강원도래요횟집(평거점),경상남도 진주시 순환로553번길 6,055-744-9922,한식,https://benepia.redtable.global/store/432041
경성설렁탕,경상남도 창원시 마산회원구 3.15대로 629,055-252-2331,한식,https://benepia.redtable.global/store/446013
고기애파무쳐,울산광역시 울주군 삼남읍 도호길 31,01053287087,한식,https://benepia.redtable.global/store/1132417
고반식당블랙(마포본점),서울특별시 마포구 도화길 16,0507-1493-6712,한식,https://benepia.redtable.global/store/1634886
곰국시집(명동점),서울특별시 중구 명동10길 19-3,02-756-3449,한식,https://benepia.redtable.global/store/10026
곱(강남점),서울특별시 강남구 역삼로3길 12,0507-1343-7592,한식,https://benepia.redtable.global/store/90435
곱(마포점),서울특별시 마포구 도화길 31-1,0507-1324-5201,한식,https://benepia.redtable.global/store/116107
곱(문래점),서울특별시 영등포구 당산로 34,0507-1435-5201,한식,https://benepia.redtable.global/store/36247
곱창왕김형제(양재역본점),서울특별시 강남구 강남대로 240,0507-1307-2396,한식,https://benepia.redtable.global/store/125002
광화문특고기(명동점),서울특별시 중구 명동길 55,02-318-9221,한식,https://benepia.redtable.global/store/948524
그리에 청담(GRee E),서울특별시 강남구 도산대로59길 13,025188177,한식,https://benepia.redtable.global/store/1008493
금성,부산광역시 금정구 산성로 443,051-517-4848,한식,https://benepia.redtable.global/store/21882
금성관나주곰탕,서울특별시 중구 남대문로 29,02-753-7898,한식,https://benepia.redtable.global/store/10076
금성관나주곰탕(구로디지털점),서울특별시 구로구 디지털로32길 92,02-838-7898,한식,https://benepia.redtable.global/store/778086
남기남 부대찌개(명동점),서울특별시 중구 명동4길 16-1,070-8800-1234,한식,https://benepia.redtable.global/store/40916
남산와이너리,서울특별시 용산구 회나무로10길 5,02-792-5849,양식,https://benepia.redtable.global/store/123400
논현삼계탕 본점,서울 강남구 신사동 563-16,021522-8133,한식,https://benepia.redtable.global/store/1634775
눈의꽃[진해점],경상남도 창원시 진해구 충장로130번길 17,055-551-1405,한식,https://benepia.redtable.global/store/521318
느루집(문래본점),서울특별시 영등포구 당산로 34,0507-1362-5201,한식,https://benepia.redtable.global/store/29330
능이백숙명가,울산광역시 북구 명촌18길 6-7,0507-1335-6458,한식,https://benepia.redtable.global/store/147089
다복양곱창,부산광역시 중구 자갈치로59번길 5-7,010-5310-3946,기타,https://benepia.redtable.global/store/25419
다솥맛집,서울특별시 영등포구 경인로 846,02-2630-6989,한식,https://benepia.redtable.global/store/28896
단군신화,전라남도 여수시 소호6길 7-5,061-922-7222,한식,https://benepia.redtable.global/store/1024222
단풍두부,전라남도 장성군 북하면 백양로 1115-7,061-392-1515,한식,https://benepia.redtable.global/store/10648
달음산복돼지,경상남도 진주시 금산면 금산순환로 71,055-761-2272,한식,https://benepia.redtable.global/store/452428
대도파곱창 낙곱새,서울특별시 강남구 테헤란로104길 19,0507-1470-4849,한식,https://benepia.redtable.global/store/1634870
대박곱창구이,서울특별시 영등포구 당산로30길 6-1,0507-1348-0209,한식,https://benepia.redtable.global/store/35609
더리얼치킨,서울특별시 영등포구 선유서로 35,02-2636-9955,한식,https://benepia.redtable.global/store/28250
더만족(서면점),부산광역시 부산진구 서전로9번길 47,0507-1470-7886,한식,https://benepia.redtable.global/store/822282
더만족(신정옥동점),울산광역시 남구 동산로69번길 14,052-266-7879,한식,https://benepia.redtable.global/store/152977
더만족(우정혁신점),울산광역시 중구 종가5길 78-5,052-242-2505,한식,https://benepia.redtable.global/store/151733
더만족(울산대점),울산광역시 남구 대학로108번길 5,052-998-5789,한식,https://benepia.redtable.global/store/131769
더밤,서울특별시 마포구 잔다리로 19,010-2720-9091,기타,https://benepia.redtable.global/store/104761
도덕봉가든,경상남도 진주시 내동면 순환로378번길 3,055-762-5295,기타,https://benepia.redtable.global/store/669562
도리원,경상남도 창녕군 영산면 온천로 103-25,055-521-6116,한식,https://benepia.redtable.global/store/18708
도산족발&칼국수,"서울특별시 강남구 도산대로45길 8-8 010-9330-7716 ,",010-5306-6332,한식,https://benepia.redtable.global/store/112956
동궁중화요리,부산광역시 중구 충장대로9번길 21-2,051-465-7474,중식,https://benepia.redtable.global/store/218126
동대문정육식당,서울특별시 종로구 종로46길 7,02-764-1541,한식,https://benepia.redtable.global/store/35450
동동海,전라남도 여수시 소호로 486,061-683-1322,한식,https://benepia.redtable.global/store/23949
동원장수촌(하단본점),부산광역시 사하구 동매로 117,051-202-4100,한식,https://benepia.redtable.global/store/1634871
디바인커피,제주특별자치도 제주시 우도면 우도해안길 1112,0507-1443-4021,카페,https://benepia.redtable.global/store/10041
라브리크 서울,서울특별시 강남구 봉은사로18길 66,02-555-1215,양식,https://benepia.redtable.global/store/1634881
라온,서울특별시 중구 명동8가길 36,02-757-9292,한식,https://benepia.redtable.global/store/14417
럼퍼스룸(몬드리안 서울),서울특별시 용산구 장문로 23,02-2076-2052,양식,https://benepia.redtable.global/store/785790
르브와(종로점),서울특별시 종로구 우정국로2길 42,02-739-8208,기타,https://benepia.redtable.global/store/150833
리파인(을지로명동점),서울특별시 종로구 청계천로 67,0507-1408-1593,기타,https://benepia.redtable.global/store/1634928
마라쿵젠,부산광역시 중구 광복로 13-1,051-243-8881,중식,https://benepia.redtable.global/store/25420
마마꾸,울산광역시 남구 삼산중로84번길 11-9,052-900-9039,양식,https://benepia.redtable.global/store/132772
만담,울산광역시 남구 삼산중로74번길 25,0507-1376-2211,한식,https://benepia.redtable.global/store/948508
만리향,경상남도 김해시 분성로335번길 4,055-332-8060,중식,https://benepia.redtable.global/store/449939
만족오향족발(동대문점),서울특별시 중구 을지로43길 9-4,02-2271-0880,한식,https://benepia.redtable.global/store/10081
만족오향족발(명동점),서울특별시 중구 명동4길 23-3,02-752-4800,한식,https://benepia.redtable.global/store/948574
만족오향족발(명동점),서울특별시 중구 명동4길 23-3,02-752-4800,한식,https://benepia.redtable.global/store/948574
메이지(진주본점),경상남도 진주시 촉석로 192-2,055-742-6797,일식,https://benepia.redtable.global/store/440336
명가생선구이,서울특별시 영등포구 당산로27길 9-1,02-2633-7651,한식,https://benepia.redtable.global/store/28736
명동양과,서울특별시 중구 명동9길 23,02-771-2288,카페,https://benepia.redtable.global/store/10083
명동양꼬치,서울특별시 중구 명동7길 21,02-778-7878,기타,https://benepia.redtable.global/store/25534
명동양꼬치,서울특별시 중구 명동7길 21,02-778-7878,기타,https://benepia.redtable.global/store/25534
명동일품한우방,서울특별시 중구 명동10길 16-1,02-3789-0999,한식,https://benepia.redtable.global/store/1045796
명동정,서울특별시 중구 삼일대로 299,02-3789-5130,한식,https://benepia.redtable.global/store/10012
명동한우방(명동본점),서울특별시 중구 명동9길 37-5,02-2267-8132,한식,https://benepia.redtable.global/store/10016
미도갈비,서울특별시 종로구 삼일대로15길 25,010-9741-9233,한식,https://benepia.redtable.global/store/948206
미도갈비(역삼점),서울특별시 강남구 봉은사로30길 75,0507-1340-1967,한식,https://benepia.redtable.global/store/1037221
미분당(약수점),서울특별시 중구 동호로11길 53,0507-1375-0202,기타,https://benepia.redtable.global/store/1634916
미스집,전라남도 목포시 원형서로 52,061-283-7982,한식,https://benepia.redtable.global/store/10447
바다풍경 정육식당(제주공항본점),제주특별자치도 제주시 서해안로 654,064-711-7992,한식,https://benepia.redtable.global/store/1179713
바지락에반한칼국수,경상남도 진주시 공단로91번길 15,055-763-2878,한식,https://benepia.redtable.global/store/481137
백리향,서울특별시 영등포구 63로 50,02-789-5741,중식,https://benepia.redtable.global/store/10758
백암왕순대,서울특별시 영등포구 여의공원로 101,02-780-2333,한식,https://benepia.redtable.global/store/29408
베라(한남점),서울특별시 용산구 이태원로 272,02-796-7223,양식,https://benepia.redtable.global/store/121951
보배반점(공덕점),서울특별시 마포구 도화4길 9,02-701-2680,기타,https://benepia.redtable.global/store/105765
보카도버터 성수(본점),서울특별시 성동구 연무장7가길 11,0507-1393-1399,카페,https://benepia.redtable.global/store/1634950
봉추찜닭(명동중앙우체국점),서울특별시 중구 명동8나길 47,02-3789-9381,한식,https://benepia.redtable.global/store/10014
부산요트투어 와이홀릭,부산광역시 해운대구 해운대해변로 84,0507-1430-5622,기타,https://benepia.redtable.global/store/1630856
부자돼지,경상남도 합천군 합천읍 옥산로 84,055-931-5885,한식,https://benepia.redtable.global/store/19249
붓골집(필동점),서울특별시 중구 필동로 27,070-4231-9199,한식,https://benepia.redtable.global/store/1634883
빤닭빤닭(명동점),서울특별시 중구 명동4길 46,02-6953-0012,한식,https://benepia.redtable.global/store/1116545
빵에빠지다,서울특별시 영등포구 도림로54길 5,02-843-0092,베이커리,https://benepia.redtable.global/store/28592
뿔,서울특별시 마포구 월드컵로19길 86,0507-1328-4255,한식,https://benepia.redtable.global/store/119496
사미헌,부산광역시 부산진구 서면문화로 19,051-819-6677,한식,https://benepia.redtable.global/store/22010
사미헌 신관,부산광역시 부산진구 서면문화로 32,051-714-4457,한식,https://benepia.redtable.global/store/275605
사천아구찜,경상남도 진주시 중앙시장길 29-8,055-743-7974,한식,https://benepia.redtable.global/store/449861
삼우치킨센타,서울특별시 영등포구 시흥대로 671,02-844-9292,한식,https://benepia.redtable.global/store/28599
삼호복집,서울특별시 서대문구 연세로5다길 10,02-337-9019,한식,https://benepia.redtable.global/store/10018
